ID,Organization,Sub Organization,Date,Year,Type,Org Type,Document Title,Author,Website Link,Data Type
3,Vermont Legislative Joint Fiscal Office,Committee,7/27/2018,2018,Meeting Notes.  Fiscal,Legislative,Education Fund Outlook - Post Closeout for FY2018 and July Revenue Update for FY2019,"Mark Perrault, Senior Fiscal Analyst",https://ljfo.vermont.gov/assets/Uploads/c0af34707e/EF-Outlook-JFC-July-27-2018.pdf,PDF
4,Vermont Legislative Joint Fiscal Office,Committee,7/21/2017,2017,Meeting Notes.  Fiscal,Legislative,Preliminary Education Fund Outlook,,https://ljfo.vermont.gov/assets/docs/jfc/2017/2017_07_21_JFC_Meeting/d2f210aef8/EF-Outlook-FY2017-Closeout-and-Revenue-Update.pdf,PDF
6,Vermont Legislative Joint Fiscal Office,Committee,"Sept 10, 2010",2010,Meeting Notes. Fiscal,Legislative,Preliminary Education Fund Outlook (September 2010),"Mark Perrault, Senior Fiscal Analyst",https://ljfo.vermont.gov/assets/docs/jfc/2010/2010-9-10/663166247f/2010-9-10_A-2-a_Ed_Fund_Outlook.pdf,PDF
7,Vermont Legislative Joint Fiscal Office,Committee,9/19/2012,2012,Meeting Notes. Fiscal,Legislative,Preliminary Education Fund Outlook (September 2012),,https://ljfo.vermont.gov/assets/docs/jfc/2012/2012_09_19/f33a3277cf/2012_09_19_education_fund_outlook.pdf,PDF
15,UMASS,Donahue Institute,3/1/2015,2015,White Paper/Study,Academic,A Study of the Use of Paraprofessionals to Deliver Special Education Services in Vermont Schools,,https://ljfo.vermont.gov/assets/docs/jfc/2015/2015_04_08/b94463d065/Report-VT-Paraprofessional-Study-Brief_Final-UMASS.pdf,PDF
28,Poverty Action Lab,,,,,NGO,,,https://www.povertyactionlab.org/sites/default/files/research-paper/Education-for-all_school_choice_Bergman-McFarlin_December2018.pdf,PDF
400,US District Court for District of Vermont,,,,,Judicial,,,https://ij.org/wp-content/uploads/2020/09/Complaint..stamped-09.09.20.pdf,PDF
31,Odden and Associates,,1/28/2016,2016,White Paper/Study,Education Consultants,Using the Evidence-Based Method to Identify Adequate Spending Levels for Vermont Schools,"Allan Odden, Lawrence O. Picus and Michael Griffith",https://legislature.vermont.gov/Documents/2016/WorkGroups/House%20Education/Education%20Finance/W~Picus%20Odden%20and%20Associates~Picus%20Report%20-%20Final%20Draft~1-28-2016.pdf,PDF
34,Dartmouth College,The Rockefeller Center,5/20/2016,2016,White Paper/Study,Academic,SPECIAL EDUCATION PRACTICES IN VERMONT Assessing the Cost and Performance Efficacy of Current Programs,"Wafaa Ahmed, Megan Mishra",https://rockefeller.dartmouth.edu/sites/rockefeller.prod/files/prsspeciaedfinal.pdf,PDF
413,Vermont Historical Society,,,,,,,,https://vermonthistory.org/journal/misc/CountyGrammarSchools1936Part1.pdf,PDF
36,Vermont State Board of Education,Act 173 Advisory Group,3/3/2022,2022,Draft. Meeting Minutes,Executive,Act 173 Advisory Group Act 173 Draft Meeting Minutes - 03-03-22,,https://education.vermont.gov/sites/aoe/files/documents/Act%20173%20Advisory%20Group%20Draft%20Minutes-03-03-2022.pdf,PDF
37,Vermont State Board of Education,Act 173 Advisory Group,3/13/2023,2023,Draft.  Meeting Minutes,Executive,"Act 173 Advisory Group Meeting: March 13, 2023.. Act 173 Advisory Group Draft Meeting Minutes: March 13, 2023",,https://education.vermont.gov/sites/aoe/files/documents/edu-act-173-advisory-group-final-agenda-03-13-2023_0.pdf,PDF
38,Vermont State Board of Education,Act 173 Advisory Group,1/6/2020,2020,,Executive,"Act 173 Advisory Group  VLA-DLP Letter to Roy and French - Adoption of MTSS Rule January 6, 2020",,https://education.vermont.gov/sites/aoe/files/documents/VLA-DLP%20Letter%20to%20Roy%20and%20French-Adoption%20of%20MTSS%20Rule-1-6-2020.pdf,PDF
39,Vermont State Board of Education,Act 173 Advisory Group,10/7/2019,2019,,Executive,"Act 173 Advisory Group Act 173 - Disability Law Project Proposed Revisions #1 to Rule 1300 October 7, 2019",,https://education.vermont.gov/sites/aoe/files/documents/CBF_Rule%201300_draft_revised_7-8-19_DLP_revisions_with_comments.pdf,PDF
40,Vermont State Board of Education,Act 173 Advisory Group,11/4/2019,2019,,Executive,"Act 173 Advisory Group Act 173 Cost Activity Timeline November 4, 2019",,https://education.vermont.gov/sites/aoe/files/documents/Act%20173%20Cost%20Activity%20Timeline-11-4-19.pdf,PDF
247,Education Law Center,,,,,,,,https://edlawcenter.org/litigation/states/vermont.html,WP
42,Vermont State Board of Education,Act 173 Advisory Group,9/16/2019,2019,Technical Guidance.,Executive,"Act 173 Advisory Group Act 173 Summary of Technical Guidance September 16, 2019",,https://education.vermont.gov/sites/aoe/files/documents/edu-act173-technical-guidance-summary-systems-to-support-student-success.pdf,PDF
43,Vermont State Board of Education,Act 173 Advisory Group,11/4/2019,2019,Technical Guidance.,Executive,"Act 173 Advisory Group Act 173 Technical Guidance - Educational Support Teams in School District Systems November 4, 2019",,https://education.vermont.gov/sites/aoe/files/documents/educational-support-teams-in-school-district-systems-act-173-technical-guidance.pdf,PDF
44,Vermont State Board of Education,Act 173 Advisory Group,4/5/2021,2021,Agenda,Executive,"Act 173 Advisory Group Agenda - April 5, 2021",,https://education.vermont.gov/sites/aoe/files/documents/Act%20173%20Agenda-04-05-2021.pdf,PDF
45,Vermont State Board of Education,Act 173 Advisory Group,8/3/2020,2020,Agenda,Executive,"Act 173 Advisory Group Agenda - August 3, 2020",,https://education.vermont.gov/sites/aoe/files/documents/Final%20Agenda%20August%203%202020%20Meeting.pdf,PDF
46,Vermont State Board of Education,Act 173 Advisory Group,12/7/2020,2020,Agenda,Executive,"Act 173 Advisory Group Agenda - December 7, 2020",,https://education.vermont.gov/sites/aoe/files/documents/Act%20173%20Agenda-12-7-2020.pdf,PDF
47,Vermont State Board of Education,Act 173 Advisory Group,2/1/2021,2021,Agenda,Executive,"Act 173 Advisory Group Agenda - February 1, 2021",,https://education.vermont.gov/sites/aoe/files/documents/Act%20173%20Agenda-02-01-2021.pdf,PDF
48,Vermont State Board of Education,Act 173 Advisory Group,2/3/2020,2020,Agenda,Executive,"Act 173 Advisory Group Agenda - February 3, 2020",,https://education.vermont.gov/sites/aoe/files/documents/Act%20173%20Advisory%20Group%20Revised%20Agenda-02-03-2020.pdf,PDF
49,Vermont State Board of Education,Act 173 Advisory Group,2/7/2022,2022,Agenda,Executive,"Act 173 Advisory Group Agenda - February 7, 2022",,https://education.vermont.gov/sites/aoe/files/documents/Act%20173%20Advisory%20Group%20Final%20Agenda_02-07-22.pdf,PDF
50,Vermont State Board of Education,Act 173 Advisory Group,1/4/2021,2021,Agenda,Executive,"Act 173 Advisory Group Agenda - January 4, 2021",,https://education.vermont.gov/sites/aoe/files/documents/Act%20173%20Advisory%20Group%20Meeting%20Agenda-01-04-2021.pdf,PDF
51,Vermont State Board of Education,Act 173 Advisory Group,1/6/2020,2020,Agenda,Executive,"Act 173 Advisory Group Agenda - January 6, 2020",,https://education.vermont.gov/sites/aoe/files/documents/Act%20173%20Advisory%20Group%20Agenda-01-06-2020.pdf,PDF
52,Vermont State Board of Education,Act 173 Advisory Group,7/13/2020,2020,Agenda,Executive,"Act 173 Advisory Group Agenda - July 13, 2020",,https://education.vermont.gov/sites/aoe/files/documents/Final%20Agenda%20July%2013%202020%20Meeting.pdf,PDF
53,Vermont State Board of Education,Act 173 Advisory Group,7/24/2019,2019,Agenda,Executive,"Act 173 Advisory Group Agenda - July 24, 2019",,https://education.vermont.gov/sites/aoe/files/documents/Act%20173%20Advisory%20Group%20Final%20Agenda-07-24-19.pdf,PDF
54,Vermont State Board of Education,Act 173 Advisory Group,6/7/2021,2021,Agenda,Executive,"Act 173 Advisory Group Agenda - June 7, 2021",,https://education.vermont.gov/sites/aoe/files/documents/Act%20173%20Agenda-06-7-2021.pdf,PDF
55,Vermont State Board of Education,Act 173 Advisory Group,3/1/2021,2021,Agenda,Executive,"Act 173 Advisory Group Agenda - March 1, 2021",,https://education.vermont.gov/sites/aoe/files/documents/Act%20173%20Meeting%20Agenda-03-01-2021.pdf,PDF
56,Vermont State Board of Education,Act 173 Advisory Group,5/4/2020,2020,Agenda,Executive,"Act 173 Advisory Group Agenda - May 4, 2020",,https://education.vermont.gov/sites/aoe/files/documents/Final%20Agenda%20May%204%202020%20Meeting.pdf,PDF
57,Vermont State Board of Education,Act 173 Advisory Group,11/2/2020,2020,Agenda,Executive,"Act 173 Advisory Group Agenda - November 2, 2020",,https://education.vermont.gov/sites/aoe/files/documents/Act%20173%20Agenda-November%202%202020.pdf,PDF
58,Vermont State Board of Education,Act 173 Advisory Group,11/4/2019,2019,Agenda,Executive,"Act 173 Advisory Group Agenda - November 4, 2019",,https://education.vermont.gov/sites/aoe/files/documents/Act%20173%20Advisory%20Group%20Agenda-11-4-19.pdf,PDF
59,Vermont State Board of Education,Act 173 Advisory Group,10/5/2020,2020,Agenda,Executive,"Act 173 Advisory Group Agenda - October 5, 2020",,https://education.vermont.gov/sites/aoe/files/documents/Final%20Agenda%20Act%20173%20Advisory%20Group%20October%205%202020%20Meeting.pdf,PDF
60,Vermont State Board of Education,Act 173 Advisory Group,10/7/2019,2019,Agenda,Executive,"Act 173 Advisory Group Agenda - October 7, 2019",,https://education.vermont.gov/sites/aoe/files/documents/Act%20173%20Advisory%20Group%20Final%20Agenda-10-07-19.pdf,PDF
