Source,Reference,Source Title,Reference Title
173,353,Article:  The Citizen (Phil Scott),"Vermont State Board of Education Adopts Updated Technology Standards for Students November 27, 2017"
65,175,"Act 173 Advisory Group Approved Special Meeting Minutes - December 11, 2019","Baptist News Network:  Federal appeals court rules Vermont cannot exclude religious education from private school tuition program  (BNG STAFF  |  JUNE 10, 2021)"
229,55,"FY23 Act 173 General Instructions for Section D September 1,2020","Act 173 Advisory Group Approved Meeting Minutes - January 6, 2020"
222,301,Consolidation Push Roils Vermont Landscape,"State Board of Education Memo Rule 2200 Final Annotated Filing April 4, 2022"
173,209,Article:  The Citizen (Phil Scott),City of Winooski:  Supporting Adjusted Student Weights in Vermont’s Education Funding
245,94,Member of Census-Based Funding Advisory Group: The Executive Director of the Vermont Independent Schools Association or designee;,"Act 173 Advisory Group Draft Minutes from July 13, 2020"
227,21,"FY-2023 Act 173 Special Education Plan September 22, 2021",The Evidence-Based (EB) model
95,85,"Act 173 Advisory Group Draft Minutes from July 24, 2019","Act 173 Advisory Group Draft Meeting Minutes: October 3, 2022"
133,128,"Act 173 Advisory Group Revised Version 3 - Rule 1300 - Agency of Education's Proposed State Rules for Special Education Finance and Census Based Funding November 4, 2019","Act 173 Advisory Group Meeting: May 2, 2022Questions and Answers on draft MOE Documentation Technical Guide"
40,222,"Act 173 Advisory Group Agenda - January 6, 2020",Consolidation Push Roils Vermont Landscape
344,18,,Public Assets Institute BLOG:  Vermont’s tools for education funding equity: Weighting and categorical aid (11/11/2011)
270,20,"State Board of Education Articles of Agreement: Orleans Southwest UESD November 30, 2018 (Act 46)",
287,142,"State Board of Education Executive Summary: Secretary's Proposed Plan Pursuant to Act 46, Sec. 10 June 1, 2018","Act 173 Advisory Group Summary of the AOE Revisions to 2360 February 3, 2020"
19,319,Public Assets Institute:  School finance in Vermont: Balancing equal education and fair tax burdens,"State Board of Education News State Board of Education Member List July 26, 2022"
41,336,"Act 173 Advisory Group Agenda - July 13, 2020",The Impact of Census-Based Special Education Funding in Pennsylvania1
163,27,2023 VT 15 No. 22-AP-059,"Act 173 Advisory Group  VLA-DLP Letter to Roy and French - Adoption of MTSS Rule January 6, 2020"
201,182,"Census-Based Funding Advisory Group Recommendation from VCSEA for Census Based Funding Advisory Group  from January 7, 2019 (Act 173 Advisory Group)","Census-Based Funding Advisory Group  Memo from Tom Lovett, Twila Perry, Mark Tashjian and Bill Bugg to the Census Based Advisory Group  from January 7, 2019 (Act 173 Advisory Group)"
303,139,"State Board of Education Memo SBE Rule 2200 - Final Filing Clean Copy  April 4, 2022",Act 173 Advisory Group Special Meeting Agenda - 03-03-22
260,197,"Report to the House and Senate Committees on Education, the House Committee on Ways and Means, and the Senate Committee on Finance","Census-Based Funding Advisory Group Draft Minutes from May 6, 2019 (Act 173 Advisory Group)"
66,204,"Act 173 Advisory Group Census-Based Funding Advisory Group Draft Report-Outline of Report to the Legislature January 6, 2020","Census-Based Funding Advisory Group Rulemaking Subcommittee Meeting Final Agenda December 3, 2018 (Act 173 Advisory Group)"
266,226,Special Education Funding Formula Projections,Federal Government/Dept of Education:  Office of Special Education Programs (OSEP)
30,26,Act 173 Advisory Group Act 173 Professional Development Recovery Presentation,"Act 173 Advisory Group Meeting: March 13, 2023.. Act 173 Advisory Group Draft Meeting Minutes: March 13, 2023"
239,283,Vermont parents sue state over unequal access to education Residency restrictions on historic Town Tuitioning system violate state constitution,"State Board of Education Articles of Agreement: Washington Central UUSD November 30, 2018 (Act 46)"
246,208,Member of Census-Based Funding Advisory Group:  The Executive Director of the Vermont School Boards Association or designee,Cite as: 16 V.S.A. § 1
99,108,"Act 173 Advisory Group Draft Minutes from November 4, 2019","Act 173 Advisory Group Draft Special Minutes from February 3, 2020"
