DOCID,TOPICID,DOC TITLE,TOPIC NAME
284,8,"State Board of Education Articles of Agreement: Windham Northeast UESD November 30, 2018 (Act 46)",High School
192,12,"Census-Based Funding Advisory Group Draft Minutes from April 1, 2019 (Act 173 Advisory Group)",Funding
272,12,"State Board of Education  Report on Act 46 of 2015 and Act 153 of 2010  January 24, 2018",Funding
59,14,"Act 173 Advisory Group Approved Minutes July 24, 2019",Funding
70,12,"Act 173 Advisory Group Disability Law Project Proposed Revisions #2 to Rule 1300 December 11, 2019",Funding
186,11,"Census-Based Funding Advisory Group Approved Minutes from April 1, 2019 (Act 173 Advisory Group)",Public Input
295,9,"State Board of Education Memo  Determining Small School Grants Eligibilty  June 29, 2018",Census Based
55,9,"Act 173 Advisory Group Approved Meeting Minutes - January 6, 2020",Census Based
248,3,Member of Census-Based Funding Advisory Group::  The Executive Director of the Vermont Council of Special Education Administrators or designee,Legistlative
281,3,"State Board of Education Articles of Agreement: Franklin Northwest UUSD November 30, 2018 ",Legistlative
16,5,"Public Assets Institute BLOG:  Student weighting is more complicated than it seems (Jack Hoffman on June 10, 2021)",Research
341,1,Center On Disability And Community Inclusion,Funding
155,12,"Census-Based Funding Advisory Group Agenda - March 4, 2019 (Act 173 Advisory Group)",Funding
185,4,"Census-Based Funding Advisory Group Agency of Education Update to the Census Based Funding Advisory Group from January 7, 2019 (Act 173 Advisory Group)",K-12
137,6,"Act 173 Advisory Group Rules Series 2200 Stakeholder Draft for Act 173 November 2, 2020 Meeting",Advisory
300,6,"State Board of Education Memo Interagency Committee on Administrative Rules Meeting Minutes: July 12, 2021  April 4, 2022",Advisory
115,1,"Act 173 Advisory Group Meeting Agenda: April 4, 2022",Funding
345,10,Three lawsuits that will change Vermont education,Census Based
353,3,"Vermont State Board of Education Adopts Updated Technology Standards for Students November 27, 2017",Legistlative
283,13,"State Board of Education Articles of Agreement: Washington Central UUSD November 30, 2018 (Act 46)",Regulation
225,12,"Federal Education Group - Draft Report on IDEA, Part B Spending and Related Fiscal Rules and their Potential Implications for the State of Vermont’s Act 173 Implementation July 24, 2019",Funding
75,4,Act 173 Advisory Group Draft Meeting Minutes-12-6-21,K-12
59,11,"Act 173 Advisory Group Approved Minutes July 24, 2019",Public Input
362,5,Act 173 of 2018 Overview Presentation,Research
306,8,"State Board of Education Memo Statement on Equity and Racism by the Vermont State Board of Education  June 17, 2020",High School
173,11,Article:  The Citizen (Phil Scott),Public Input
28,14,"Act 173 Advisory Group Act 173 - Disability Law Project Proposed Revisions #1 to Rule 1300 October 7, 2019",Funding
51,6,"Act 173 Advisory Group Agenda: January 9, 2023",Advisory
216,6,Educating Mary Barrosse.  Author: Amity Shlaes  Date: April-May 1999  From: Policy Review,Advisory
334,6,Swift Schools,Advisory
84,9,"Act 173 Advisory Group Draft Meeting Minutes: October 3, 2022",Census Based
34,12,"Act 173 Advisory Group Agenda - August 3, 2020",Funding
221,14,,Funding
229,5,"FY23 Act 173 General Instructions for Section D September 1,2020",Research
255,8,Reference request for UVM Report (2-3-2016),High School
117,2,"Act 173 Advisory Group Meeting Agenda: December 5, 2022",Census Based
39,14,"Act 173 Advisory Group Agenda - January 4, 2021",Funding
117,7,"Act 173 Advisory Group Meeting Agenda: December 5, 2022",Elementary
200,14,"Census-Based Funding Advisory Group Professional Learning Sequence Subcommittee Meeting Final Agenda December 3, 2018 (Act 173 Advisory Group)",Funding
88,13,"Act 173 Advisory Group Draft Meeting: September 12, 2022 Memo from Secretary French: Review of Flexibility in Technical Guidance",Regulation
183,11,"Census-Based Funding Advisory Group - April 1, 2019 (Act 173 Advisory Group)",Public Input
202,11,"Census-Based Funding Advisory Group Report to House and Senate Committees on Education and the State Board of Education August 4, 2022",Public Input
47,14,"Act 173 Advisory Group Agenda - November 4, 2019",Funding
102,9,"Act 173 Advisory Group Draft Minutes from September 16, 2019",Census Based
59,5,"Act 173 Advisory Group Approved Minutes July 24, 2019",Research
195,8,"Census-Based Funding Advisory Group Draft Minutes from January 7, 2019 (Act 173 Advisory Group)",High School
133,3,"Act 173 Advisory Group Revised Version 3 - Rule 1300 - Agency of Education's Proposed State Rules for Special Education Finance and Census Based Funding November 4, 2019",Legistlative
290,4,"State Board of Education Legislative Report: Annual Report to the Governor and the General Assembly June 17, 2021",K-12
65,14,"Act 173 Advisory Group Approved Special Meeting Minutes - December 11, 2019",Funding
270,12,"State Board of Education Articles of Agreement: Orleans Southwest UESD November 30, 2018 (Act 46)",Funding
282,2,"State Board of Education Articles of Agreement: Lamoille South UUSD November 30, 2018 (Act 46)",Census Based
115,13,"Act 173 Advisory Group Meeting Agenda: April 4, 2022",Regulation
201,6,"Census-Based Funding Advisory Group Recommendation from VCSEA for Census Based Funding Advisory Group  from January 7, 2019 (Act 173 Advisory Group)",Advisory
9,11,Public Assets Institute,Public Input
322,6,"State Board of Education News. State Board of Education-Statement of Preparedness for Ripton School District August 12, 2022",Advisory
361,9,Rules for Special Education Finance and Census-Based Funding,Census Based
319,7,"State Board of Education News State Board of Education Member List July 26, 2022",Elementary
9,3,Public Assets Institute,Legistlative
3,7,Preliminary Education Fund Outlook (September 2010),Elementary
274,10,"State Board of Education Act 46: Modified Unified Union School Districts and their Non-Member Elementary Districts June 26, 2018",Census Based
205,7,"Census-Based Funding Advisory Group Special Education Allowable Costs DRAFT February 4, 2019 (Act 173 Advisory Group)",Elementary
85,4,"Act 173 Advisory Group Draft Meeting Minutes: October 3, 2022",K-12
300,8,"State Board of Education Memo Interagency Committee on Administrative Rules Meeting Minutes: July 12, 2021  April 4, 2022",High School
344,5,,Research
33,8,"Act 173 Advisory Group Agenda - April 5, 2021",High School
101,3,"Act 173 Advisory Group Draft Minutes from October 7, 2019",Legistlative
26,2,"Act 173 Advisory Group Meeting: March 13, 2023.. Act 173 Advisory Group Draft Meeting Minutes: March 13, 2023",Census Based
328,13,"State Board of Education Transition Timeline FAQs January 15, 2019",Regulation
35,10,"Act 173 Advisory Group Agenda - December 7, 2020",Census Based
185,12,"Census-Based Funding Advisory Group Agency of Education Update to the Census Based Funding Advisory Group from January 7, 2019 (Act 173 Advisory Group)",Funding
194,3,"Census-Based Funding Advisory Group Draft Minutes from February 4, 2019 (Act 173 Advisory Group)",Legistlative
169,2,"Alliance Defending Freedom:  Families sue Vermont for religious discrimination (Jan 30, 2019)",Census Based
91,6,"Act 173 Advisory Group Draft Minutes from December 7, 2020",Advisory
153,11,"Act 173 Advisory Group. AOE Act 173 Update. October 4, 2021",Public Input
75,6,Act 173 Advisory Group Draft Meeting Minutes-12-6-21,Advisory
312,12,"State Board of Education Merger Activity Map. January 10, 2018",Funding
235,5,IDEA 101 Subgrantee Programmatic Consideration June 2020 (YouTube),Research
303,9,"State Board of Education Memo SBE Rule 2200 - Final Filing Clean Copy  April 4, 2022",Census Based
293,14,State Board of Education Meetings for 2023 - 2024,Funding
114,11,"Act 173 Advisory Group Meeting Agenda-June 6, 2022",Public Input
73,13,Act 173 Advisory Group Draft Meeting Minutes-10-4-2021,Regulation
140,6,"Act 173 Advisory Group Special Meeting Agenda - December 11, 2019",Advisory
359,5,Vermont Supreme Court ruling could offer ‘road map’ to statewide school choice,Research
357,4,VT Dept of Education (Technical Advice for the Two-Vote Provisions16 V.S.A. § 563(11)(B)),K-12
335,7,The Commissioner of the Vermont Department of Mental Health or designee;,Elementary
108,13,"Act 173 Advisory Group Draft Special Minutes from February 3, 2020",Regulation
240,9,LLMC Digital,Census Based
335,10,The Commissioner of the Vermont Department of Mental Health or designee;,Census Based
65,9,"Act 173 Advisory Group Approved Special Meeting Minutes - December 11, 2019",Census Based
33,1,"Act 173 Advisory Group Agenda - April 5, 2021",Funding
140,8,"Act 173 Advisory Group Special Meeting Agenda - December 11, 2019",High School
44,9,"Act 173 Advisory Group Agenda - March 1, 2021",Census Based
4,4,Preliminary Education Fund Outlook (September 2012),K-12
144,5,"Act 173 Advisory Group Vermont Advisory Council on Special Education to State Board of Education Chairman November 4, 2019",Research
201,5,"Census-Based Funding Advisory Group Recommendation from VCSEA for Census Based Funding Advisory Group  from January 7, 2019 (Act 173 Advisory Group)",Research
252,2,"Opinion Piece in Mountain Times Walter J Mathis (JULY 20, 2017)",Census Based
168,8,Agency of Education:  Act 173 Advisory Group,High School
258,10,"Report of the Census-Based Funding Advisory Group - January 15, 2020 Feb 4/2020",Census Based
40,11,"Act 173 Advisory Group Agenda - January 6, 2020",Public Input
313,2,"State Board of Education News Letter to General Assembly from Secretary French and Dr. Kolbe regarding Background and Remaining Points of Disagreement in SBE/AOE Legislative Report. August 4, 2022",Census Based
115,7,"Act 173 Advisory Group Meeting Agenda: April 4, 2022",Elementary
225,9,"Federal Education Group - Draft Report on IDEA, Part B Spending and Related Fiscal Rules and their Potential Implications for the State of Vermont’s Act 173 Implementation July 24, 2019",Census Based
321,4,"State Board of Education News Vermont State Board of Education Announces Search for Secretary of Education April 16, 2018",K-12
127,11,"Act 173 Advisory Group Meeting: May 1, 2023.  Equalized Pupil Comparison for FY2024 with Act 127 Weights",Public Input
11,9,Public Assets Institute BLOG:  American Rescue Plan brings $200 million to Vermont towns and villages (10/15/2021),Census Based
244,3,Making schools equal: Vermont shows it ain't easy.,Legistlative
99,3,"Act 173 Advisory Group Draft Minutes from November 4, 2019",Legistlative
157,2,"Census-Based Funding Advisory Group Agenda from February 4, 2019 (Act 173 Advisory Group)",Census Based
303,6,"State Board of Education Memo SBE Rule 2200 - Final Filing Clean Copy  April 4, 2022",Advisory
301,8,"State Board of Education Memo Rule 2200 Final Annotated Filing April 4, 2022",High School
293,6,State Board of Education Meetings for 2023 - 2024,Advisory
21,7,The Evidence-Based (EB) model,Elementary
289,4,"State Board of Education Guidance: Failure of a New Union School District to Adopt a Budget June 12, 2019",K-12
70,9,"Act 173 Advisory Group Disability Law Project Proposed Revisions #2 to Rule 1300 December 11, 2019",Census Based
154,8,"Act 173 Advisory Group. Local Comprehensive Assessment Systems - Act 173 Technical Guidance February 3, 2020",High School
359,14,Vermont Supreme Court ruling could offer ‘road map’ to statewide school choice,Funding
127,1,"Act 173 Advisory Group Meeting: May 1, 2023.  Equalized Pupil Comparison for FY2024 with Act 127 Weights",Funding
158,8,"Census-Based Funding Advisory Group Agenda from January 7, 2019 (Act 173 Advisory Group)",High School
222,3,Consolidation Push Roils Vermont Landscape,Legistlative
77,3,"Act 173 Advisory Group Draft Meeting Minutes: December 5, 2022",Legistlative
115,13,"Act 173 Advisory Group Meeting Agenda: April 4, 2022",Regulation
120,7,"Act 173 Advisory Group Meeting Minutes: April 4, 2022",Elementary
150,8,"Act 173 Advisory Group-Suggested Edits to Rule Series 2200-01-032-22. January 3, 2022",High School
168,6,Agency of Education:  Act 173 Advisory Group,Advisory
228,1,"FY23 Act 173 General Instructions for Section B September 1, 2020",Funding
145,4,"Act 173 Advisory Group VISA Draft 2360-Series Rule Changes February 3, 2020",K-12
86,4,"Act 173 Advisory Group Draft Meeting Minutes: September 12, 2022",K-12
37,11,"Act 173 Advisory Group Agenda - February 3, 2020",Public Input
9,9,Public Assets Institute,Census Based
300,14,"State Board of Education Memo Interagency Committee on Administrative Rules Meeting Minutes: July 12, 2021  April 4, 2022",Funding
270,1,"State Board of Education Articles of Agreement: Orleans Southwest UESD November 30, 2018 (Act 46)",Funding
62,8,"Act 173 Advisory Group Approved Minutes October 7, 2019",High School
293,6,State Board of Education Meetings for 2023 - 2024,Advisory
187,6,"Census-Based Funding Advisory Group Approved Minutes from February 4, 2019 (Act 173 Advisory Group)",Advisory
247,11,Member of Census-Based Funding Advisory Group: The Executive Director of the Vermont-National Education Association or designee;,Public Input
332,13,"State of VT Agency of Education:  Report of the Census-Based Funding Advisory Group - January 15, 2020",Regulation
130,2,"Act 173 Advisory Group Meeting: September 12, 2022  Responses to public comments on the Draft Technical Manual For Use and Accounting of IDEA Part B Entitlement Grants and Draft Technical Manual for Documenting Maintenance of Effort",Census Based
75,3,Act 173 Advisory Group Draft Meeting Minutes-12-6-21,Legistlative
114,6,"Act 173 Advisory Group Meeting Agenda-June 6, 2022",Advisory
307,10,"State Board of Education Memo. State Board of Education-Ripton Status Report Committee - Final Draft Statement of Preparedness for Ripton School District August 11, 2022",Census Based
151,6,"Act 173 Advisory Group. Agenda. October 4, 2021",Advisory
197,5,"Census-Based Funding Advisory Group Draft Minutes from May 6, 2019 (Act 173 Advisory Group)",Research
135,12,"Act 173 Advisory Group Rule Series 1300 - Side by Side February 3, 2020",Funding
263,7,Just Saying No: Vermont Education Secretary Defies Lawmakers,Elementary
140,11,"Act 173 Advisory Group Special Meeting Agenda - December 11, 2019",Public Input
336,8,The Impact of Census-Based Special Education Funding in Pennsylvania1,High School
258,7,"Report of the Census-Based Funding Advisory Group - January 15, 2020 Feb 4/2020",Elementary
